step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
21024,57.5606,0.754285,0.932597,0.531730,0.417917,1.000000,63.340164,true
21097,57.7604,0.757069,0.932071,0.533825,0.420285,1.000000,63.584667,true
21170,57.9603,0.759852,0.931542,0.535924,0.422660,1.000000,63.829445,true
21243,58.1602,0.762636,0.931011,0.538026,0.425041,1.000000,64.074417,true
21316,58.3600,0.765418,0.930477,0.540131,0.427430,1.000000,64.319473,true
21389,58.5599,0.768200,0.929941,0.542239,0.429826,1.000000,64.564941,true
21462,58.7598,0.770980,0.929402,0.544351,0.432228,1.000000,64.810555,true
21535,58.9596,0.773759,0.928861,0.546465,0.434638,1.000000,65.056244,true
21608,59.1595,0.776536,0.928318,0.548583,0.437055,1.000000,65.302414,true
21681,59.3593,0.779311,0.927771,0.550704,0.439478,1.000000,65.548584,true
21754,59.5592,0.782083,0.927223,0.552828,0.441909,1.000000,65.795052,true
21827,59.7591,0.784853,0.926672,0.554955,0.444346,1.000000,66.041779,true
21900,59.9589,0.787621,0.926118,0.557084,0.446790,1.000000,66.288506,true
21973,60.1588,0.790384,0.925562,0.559218,0.449241,1.000000,66.535759,true
22046,60.3587,0.793145,0.925003,0.561355,0.451699,1.000000,66.783043,true
22119,60.5585,0.795902,0.924442,0.563494,0.454163,0.996845,67.030533,true
22192,60.7584,0.798655,0.923879,0.565637,0.456635,0.993687,67.278374,true
22265,60.9582,0.801403,0.923313,0.567782,0.459113,0.990526,67.526215,true
22338,61.1581,0.804147,0.922744,0.569931,0.461597,0.987361,67.774498,true
22411,61.3580,0.806886,0.922174,0.572083,0.464089,0.984194,68.022896,true
22484,61.5578,0.809620,0.921600,0.574238,0.466587,0.981022,68.271423,true
22557,61.7577,0.812348,0.921025,0.576396,0.469091,0.977846,68.520378,true
22630,61.9576,0.815070,0.920446,0.578557,0.471602,0.974667,68.769333,true
22703,62.1574,0.817786,0.919866,0.580721,0.474120,0.971485,69.018669,true
22776,62.3573,0.820495,0.919282,0.582889,0.476644,0.968299,69.268181,true
22849,62.5572,0.823198,0.918697,0.585059,0.479175,0.965110,69.517761,true
22922,62.7570,0.825893,0.918109,0.587233,0.481713,0.961917,69.767830,true
22995,62.9569,0.828581,0.917518,0.589409,0.484256,0.958720,70.017899,true
23068,63.1567,0.831261,0.916925,0.591589,0.486807,0.955520,70.268295,true
23141,63.3566,0.833933,0.916330,0.593772,0.489363,0.952316,70.518921,true
23214,63.5565,0.836597,0.915732,0.595957,0.491927,0.949109,70.769577,true
23287,63.7563,0.839251,0.915132,0.598146,0.494496,0.945898,71.020760,true
23360,63.9562,0.841897,0.914529,0.600338,0.497072,0.942683,71.271942,true
23433,64.1561,0.844533,0.913924,0.602533,0.499655,0.939465,71.523415,true
